คณะ,สาขา
คณะการสร้างเจ้าของธุรกิจและการบริหารกิจการ,สาขาวิชาการเป็นเจ้าของธุรกิจ
คณะดิจิทัลมีเดียและศิลปะภาพยนตร์,สาขาวิชาภาพยนตร์
คณะดิจิทัลมีเดียและศิลปะภาพยนตร์,สาขาวิชาสื่อดิจิทัล
Bangkok University International,Film Series and Global Content Production and Business
คณะนิติศาสตร์,หลักสูตรนิติศาสตรบัณฑิต
คณะนิเทศศาสตร์,สาขาวิชาศิลปะการแสดง
คณะนิเทศศาสตร์,สาขาวิชาการสื่อสารและสื่อใหม่ (มุ่งเน้นการสร้างแบรนด์สร้างสรรค์)
คณะนิเทศศาสตร์,สาขาวิชาการสื่อสารและสื่อใหม่ (มุ่งเน้นการประชาสัมพันธ์ดิจิทัล)
คณะนิเทศศาสตร์,สาขาวิชาการสื่อสารและสื่อใหม่ (มุ่งเน้นการโฆษณาดิจิทัล)
คณะนิเทศศาสตร์,สาขาวิชาวิทยุกระจายเสียง วิทยุโทรทัศน์ และการผลิตสื่อสตรีมมิ่ง
คณะนิเทศศาสตร์,สาขาวิชาการผลิตอีเว้นท์ และการจัดการนิทรรศการและการประชุม
คณะนิเทศศาสตร์,สาขาวิชาการผลิตเนื้อหาสร้างสรรค์และประสบการณ์ดิจิทัล
คณะนิเทศศาสตร์,สาขาวิชาการสื่อสารและสื่อใหม่ (มุ่งเน้นการสร้างแบรนด์อินฟลูเอนเซอร์)
คณะนิเทศศาสตร์,สาขาวิชาการสื่อสารและสื่อใหม่ (มุ่งเน้นการสื่อสารดิจิทัลและอุตสาหกรรมสื่อ)
Bangkok University International,Media and Communication
Bangkok University International,Innovative Media Production
คณะบริหารธุรกิจ,สาขาวิชาการตลาด
คณะบริหารธุรกิจ,สาขาวิชาการเงิน
คณะบริหารธุรกิจ,สาขาวิชาการจัดการ
คณะบริหารธุรกิจ,สาขาวิชาการจัดการธุรกิจระหว่างประเทศ
คณะบริหารธุรกิจ,สาขาวิชาการจัดการโลจิสติกส์และโซ่อุปทาน
คณะบริหารธุรกิจ,สาขาวิชาการตลาดดิจิทัล
คณะบริหารธุรกิจ,สาขาวิชาการจัดการธุรกิจระหว่างประเทศ (มุ่งเน้นธุรกิจจีน)
คณะบริหารธุรกิจ,สาขาวิชาการวางแผนการเงินและการลงทุน
คณะบริหารธุรกิจ,สาขาวิชาการตลาดดิจิทัล มุ่งเน้นเจ้าของธุรกิจดิจิทัลและแบรนด์อินฟลูเอนเซอร์
คณะบริหารธุรกิจ,สาขาวิชาการจัดการโลจิสติกส์และโซ่อุปทาน มุ่งเน้นดิจิทัลคอมเมิร์ซโลจิสติกส์
คณะบัญชี,หลักสูตรบัญชีบัณฑิต
คณะมนุษยศาสตร์และการจัดการการท่องเที่ยว,สาขาวิชาภาษาอังกฤษ
คณะมนุษยศาสตร์และการจัดการการท่องเที่ยว,สาขาวิชาการจัดการการโรงแรม
คณะมนุษยศาสตร์และการจัดการการท่องเที่ยว,สาขาวิชาการจัดการธุรกิจสายการบิน
คณะมนุษยศาสตร์และการจัดการการท่องเที่ยว,สาขาวิชาการจัดการการท่องเที่ยวและเรือสำราญ
Bangkok University International,International Tourism and Hospitality Management
Bangkok University International,Culinary Arts and Design
คณะเทคโนโลยีสารสนเทศและนวัตกรรม,สาขาวิชาวิทยาการคอมพิวเตอร์
คณะเทคโนโลยีสารสนเทศและนวัตกรรม,สาขาวิชาเทคโนโลยีสารสนเทศ
คณะเทคโนโลยีสารสนเทศและนวัตกรรม,สาขาวิชาเกมและสื่อเชิงโต้ตอบ
คณะเทคโนโลยีสารสนเทศและนวัตกรรม,สาขาวิชาวิทยาการคอมพิวเตอร์ มุ่งเน้นวิทยาการข้อมูลและความมั่นคงปลอดภัยไซเบอร์
คณะวิศวกรรมศาสตร์,สาขาวิชาวิศวกรรมไฟฟ้า
คณะวิศวกรรมศาสตร์,สาขาวิชาวิศวกรรมปัญญาประดิษฐ์และวิทยาการข้อมูล
คณะวิศวกรรมศาสตร์,สาขาวิชาวิศวกรรมคอมพิวเตอร์และหุ่นยนต์
คณะวิศวกรรมศาสตร์,สาขาวิชาวิศวกรรมมัลติมีเดียและเอ็นเตอร์เทนเมนต์
คณะศิลปกรรมศาสตร์,สาขาวิชาการออกแบบนิเทศศิลป์
คณะศิลปกรรมศาสตร์,สาขาวิชาการออกแบบแฟชั่น
คณะศิลปกรรมศาสตร์,สาขาวิชาศิลปะและการออกแบบ
Bangkok University International,Creative Communication Design
คณะเศรษฐศาสตร์และการลงทุน,หลักสูตรเศรษฐศาสตรบัณฑิต
คณะสถาปัตยกรรมศาสตร์,สาขาวิชาสถาปัตยกรรม (หลักสูตร 5 ปี)
คณะสถาปัตยกรรมศาสตร์,สาขาวิชาสถาปัตยกรรมภายใน
Bangkok University International,BBA
Bangkok University International,AI Engineering and Entrepreneurship
Bangkok University International,Marketing
Bangkok University International,Entrepreneurship
Bangkok University International,Media and Communication
Bangkok University International,Business English
Bangkok University International,Creative Communication Design
Bangkok University International,International Tourism and Hospitality Management
Bangkok University International,Culinary Arts and Design
Bangkok University International,Innovative Media Production
